Column1;PC1;PC2;Unnamed: 0;Project;Treatment;Timepoint
112;-4,16078432;-1,310078232;Intensity_1DLC051815QE_RRAG_018B_rep1;PXD012477;Non-Healthy;B
538;-3,7098508;-1,451410055;Intensity_1DLC051815QE_RRAG_018B_rep2;PXD012477;Non-Healthy;B
273;-4,395061622;-1,301046684;Intensity_1DLC051815QE_RRAG_018B_rep3;PXD012477;Non-Healthy;B
222;-3,686047408;-1,133619651;Intensity_1DLC051815QE_RRAG_018B_rep4;PXD012477;Non-Healthy;B
202;-4,534282629;-1,478289785;Intensity_1DLC051815QE_RRAG_019B_rep1;PXD012477;Healthy;B
384;-3,43144574;-1,402038692;Intensity_1DLC051815QE_RRAG_019B_rep2;PXD012477;Healthy;B
126;-2,857135894;-0,958213247;Intensity_1DLC051815QE_RRAG_019B_rep3;PXD012477;Healthy;B
99;-3,755129275;-1,367292898;Intensity_1DLC051815QE_RRAG_019B_rep4;PXD012477;Healthy;B
427;-3,342337877;-1,894417265;Intensity_1DLC051815QE_RRAG_020B_rep1;PXD012477;Non-Healthy;B
350;-3,228907924;-1,751069822;Intensity_1DLC051815QE_RRAG_020B_rep2;PXD012477;Non-Healthy;B
369;-3,66583885;-1,755914847;Intensity_1DLC051815QE_RRAG_020B_rep3;PXD012477;Non-Healthy;B
280;-2,321150837;-1,491506965;Intensity_1DLC051815QE_RRAG_020B_rep4;PXD012477;Non-Healthy;B
346;-3,646740035;-1,390221151;Intensity_1DLC051815QE_RRAG_021B_rep1;PXD012477;Healthy;B
438;-2,934126281;-1,732113205;Intensity_1DLC051815QE_RRAG_021B_rep2;PXD012477;Healthy;B
185;-4,480412279;-1,755238381;Intensity_1DLC051815QE_RRAG_021B_rep3;PXD012477;Healthy;B
399;-4,242183428;-1,15900261;Intensity_1DLC051815QE_RRAG_021B_rep4;PXD012477;Healthy;B
340;-3,339532071;-1,422171005;Intensity_1DLC051815QE_RRAG_022B_rep1;PXD012477;Non-Healthy;B
293;-1,921925561;-1,613077287;Intensity_1DLC051815QE_RRAG_022B_rep2;PXD012477;Non-Healthy;B
161;-1,07741941;-1,646161527;Intensity_1DLC051815QE_RRAG_022B_rep3;PXD012477;Non-Healthy;B
220;-1,333747711;-1,030697724;Intensity_1DLC051815QE_RRAG_022B_rep4;PXD012477;Non-Healthy;B
131;-3,556582775;-1,58290987;Intensity_1DLC051815QE_RRAG_023B_rep1;PXD012477;Healthy;B
129;-3,237299855;-1,336985675;Intensity_1DLC051815QE_RRAG_023B_rep2;PXD012477;Healthy;B
270;-2,960313279;-2,053409248;Intensity_1DLC051815QE_RRAG_023B_rep3;PXD012477;Healthy;B
241;-3,953824234;-1,456854704;Intensity_1DLC051815QE_RRAG_023B_rep4;PXD012477;Healthy;B
333;-3,873106594;-0,602029948;Intensity_1DLC051815QE_RRAG_026B_rep1;PXD012477;Non-Healthy;B
92;-4,193014005;-0,020223428;Intensity_1DLC051815QE_RRAG_026B_rep2;PXD012477;Non-Healthy;B
182;-3,287113449;0,411727308;Intensity_1DLC051815QE_RRAG_026B_rep3;PXD012477;Non-Healthy;B
140;-2,87734686;0,810126916;Intensity_1DLC051815QE_RRAG_026B_rep4;PXD012477;Non-Healthy;B
148;-3,948982314;-0,88730243;Intensity_1DLC051815QE_RRAG_027B_rep1;PXD012477;Non-Healthy;B
233;-3,17670924;-1,488313363;Intensity_1DLC051815QE_RRAG_027B_rep2;PXD012477;Non-Healthy;B
77;-2,759989783;-1,380453085;Intensity_1DLC051815QE_RRAG_027B_rep3;PXD012477;Non-Healthy;B
319;-2,046738633;-1,240273492;Intensity_1DLC051815QE_RRAG_027B_rep4;PXD012477;Non-Healthy;B
147;-3,887894974;-1,082688496;Intensity_1DLC051815QE_RRAG_028B_rep1;PXD012477;Healthy;B
433;-3,752572125;-1,182979472;Intensity_1DLC051815QE_RRAG_028B_rep2;PXD012477;Healthy;B
117;-3,958934249;-1,138529845;Intensity_1DLC051815QE_RRAG_028B_rep3;PXD012477;Healthy;B
229;-4,079776431;-1,018161635;Intensity_1DLC051815QE_RRAG_028B_rep4;PXD012477;Healthy;B
391;-3,880132559;-1,707775501;Intensity_1DLC051815QE_RRAG_029B_rep1;PXD012477;Healthy;B
61;-3,659526387;-1,267162305;Intensity_1DLC051815QE_RRAG_029B_rep2;PXD012477;Healthy;B
63;-3,67436504;-1,199398316;Intensity_1DLC051815QE_RRAG_029B_rep3;PXD012477;Healthy;B
157;-3,66033673;-1,239565546;Intensity_1DLC051815QE_RRAG_029B_rep4;PXD012477;Healthy;B
242;-3,224745264;-1,353063475;Intensity_1DLC052815QE_RRAG_024B_rep1;PXD012477;Healthy;B
89;-3,60194635;-1,330732954;Intensity_1DLC052815QE_RRAG_024B_rep2;PXD012477;Healthy;B
502;-3,175088373;-1,890967846;Intensity_1DLC052815QE_RRAG_024B_rep3;PXD012477;Healthy;B
113;-3,126310097;-1,512977092;Intensity_1DLC052815QE_RRAG_024B_rep4;PXD012477;Healthy;B
437;-4,16028294;-0,662513699;Intensity_1DLC052815QE_RRAG_025B_rep1;PXD012477;Healthy;B
96;-4,13049384;-1,298727233;Intensity_1DLC052815QE_RRAG_025B_rep2;PXD012477;Healthy;B
118;-3,933977692;-0,893944802;Intensity_1DLC052815QE_RRAG_025B_rep3;PXD012477;Healthy;B
396;-3,14167651;-0,766935362;Intensity_1DLC052815QE_RRAG_025B_rep4;PXD012477;Healthy;B
357;-3,37663222;-1,57260752;Intensity_1DLC060615QE_RRAG_030B_rep1;PXD012477;Non-Healthy;B
465;-2,073298706;-1,058926147;Intensity_1DLC060615QE_RRAG_030B_rep2;PXD012477;Non-Healthy;B
485;-2,567968649;-1,052118701;Intensity_1DLC060615QE_RRAG_030B_rep3;PXD012477;Non-Healthy;B
145;-2,076348635;-0,856937133;Intensity_1DLC060615QE_RRAG_030B_rep4;PXD012477;Non-Healthy;B
78;-3,193497363;-0,978452472;Intensity_1DLC060615QE_RRAG_031B_rep1;PXD012477;Non-Healthy;B
361;-3,238618517;-1,287567098;Intensity_1DLC060615QE_RRAG_031B_rep2;PXD012477;Non-Healthy;B
469;-3,914942869;-1,590061716;Intensity_1DLC060615QE_RRAG_031B_rep3;PXD012477;Non-Healthy;B
83;-4,107146072;-1,08371171;Intensity_1DLC060615QE_RRAG_031B_rep4;PXD012477;Non-Healthy;B
313;-2,885226055;-0,8753632;Intensity_1DLC060615QE_RRAG_032B_rep1;PXD012477;Healthy;B
327;-1,239743933;-0,889672907;Intensity_1DLC060615QE_RRAG_032B_rep2;PXD012477;Healthy;B
199;-1,697794511;-1,522793071;Intensity_1DLC060615QE_RRAG_032B_rep3;PXD012477;Healthy;B
514;-2,894308995;-1,027510822;Intensity_1DLC060615QE_RRAG_032B_rep4;PXD012477;Healthy;B
426;-4,180142922;-1,131777651;Intensity_1DLC060615QE_RRAG_033B_rep1;PXD012477;Healthy;B
100;-4,038875097;-0,815168037;Intensity_1DLC060615QE_RRAG_033B_rep2;PXD012477;Healthy;B
525;-4,157254454;-1,574631198;Intensity_1DLC060615QE_RRAG_033B_rep3;PXD012477;Healthy;B
260;-4,273330792;-1,329833622;Intensity_1DLC060615QE_RRAG_033B_rep4;PXD012477;Healthy;B
234;-5,035702294;-0,628213851;Intensity_1DLC060615QE_RRAG_034B_rep1;PXD012477;Healthy;B
247;-5,394583326;-0,756300513;Intensity_1DLC060615QE_RRAG_034B_rep2;PXD012477;Healthy;B
390;-4,166917207;-0,853957063;Intensity_1DLC060615QE_RRAG_034B_rep3;PXD012477;Healthy;B
312;-4,983509684;-0,656409223;Intensity_1DLC060615QE_RRAG_034B_rep4;PXD012477;Healthy;B
253;-4,862060379;-0,328018643;Intensity_1DLC060615QE_RRAG_035B_rep1;PXD012477;Non-Healthy;B
298;-4,593962451;-0,72937482;Intensity_1DLC060615QE_RRAG_035B_rep2;PXD012477;Non-Healthy;B
387;-4,085884608;-0,568049891;Intensity_1DLC060615QE_RRAG_035B_rep3;PXD012477;Non-Healthy;B
456;-4,436149715;-1,185193813;Intensity_1DLC060615QE_RRAG_035B_rep4;PXD012477;Non-Healthy;B
513;-3,96638587;-1,07595688;Intensity_1DLC060615QE_RRAG_036B_rep1;PXD012477;Healthy;B
213;-4,057380562;-1,140195254;Intensity_1DLC060615QE_RRAG_036B_rep2;PXD012477;Healthy;B
69;-3,101336884;-1,325552052;Intensity_1DLC060615QE_RRAG_036B_rep3;PXD012477;Healthy;B
246;-2,413316607;-1,14589249;Intensity_1DLC060615QE_RRAG_036B_rep4;PXD012477;Healthy;B
67;-3,21725272;-1,68025337;Intensity_1DLC060615QE_RRAG_037B_rep1;PXD012477;Healthy;B
459;-3,802904254;-0,986524519;Intensity_1DLC060615QE_RRAG_037B_rep2;PXD012477;Healthy;B
532;-3,425620411;-0,34010974;Intensity_1DLC060615QE_RRAG_037B_rep3;PXD012477;Healthy;B
371;-2,56071498;-0,557681185;Intensity_1DLC060615QE_RRAG_037B_rep4;PXD012477;Healthy;B
105;-3,44012602;-0,833489568;Intensity_1DLC061715QE_RRAG_038B_rep1;PXD012477;Non-Healthy;B
386;-3,211521706;-0,860489169;Intensity_1DLC061715QE_RRAG_038B_rep2;PXD012477;Non-Healthy;B
175;-3,103800914;-1,100708964;Intensity_1DLC061715QE_RRAG_038B_rep3;PXD012477;Non-Healthy;B
536;-2,601900112;-0,705212652;Intensity_1DLC061715QE_RRAG_038B_rep4;PXD012477;Non-Healthy;B
137;-2,916804952;-0,930022968;Intensity_1DLC061715QE_RRAG_040B_rep1;PXD012477;Healthy;B
372;-3,507429653;-1,069869655;Intensity_1DLC061715QE_RRAG_040B_rep2;PXD012477;Healthy;B
107;-3,046254828;-0,942308924;Intensity_1DLC061715QE_RRAG_040B_rep3;PXD012477;Healthy;B
476;-2,647399169;-0,994719248;Intensity_1DLC061715QE_RRAG_040B_rep4;PXD012477;Healthy;B
527;-2,553312819;-0,383699665;Intensity_1DLC061715QE_RRAG_041B_rep1;PXD012477;Healthy;B
481;-2,288188097;-0,388869889;Intensity_1DLC061715QE_RRAG_041B_rep2;PXD012477;Healthy;B
154;-1,156086589;-0,288830887;Intensity_1DLC061715QE_RRAG_041B_rep3;PXD012477;Healthy;B
116;-0,984517992;-0,401539922;Intensity_1DLC061715QE_RRAG_041B_rep4;PXD012477;Healthy;B
237;-3,864248136;-1,619300636;Intensity_1DLC061715QE_RRAG_042B_rep1;PXD012477;Healthy;B
458;-3,850430791;-1,475199474;Intensity_1DLC061715QE_RRAG_042B_rep2;PXD012477;Healthy;B
428;-3,335693009;-1,799753108;Intensity_1DLC061715QE_RRAG_042B_rep3;PXD012477;Healthy;B
450;-3,28682411;-1,81435004;Intensity_1DLC061715QE_RRAG_042B_rep4;PXD012477;Healthy;B
102;-3,403146218;-0,858359915;Intensity_1DLC062715QE_RRAG_043B_rep1;PXD012477;Non-Healthy;B
194;-3,653926517;-0,753312288;Intensity_1DLC062715QE_RRAG_043B_rep2;PXD012477;Non-Healthy;B
84;-4,118329703;-0,467036157;Intensity_1DLC062715QE_RRAG_043B_rep3;PXD012477;Non-Healthy;B
482;-2,677239831;-0,616460627;Intensity_1DLC062715QE_RRAG_043B_rep4;PXD012477;Non-Healthy;B
322;-3,293331606;-1,575076579;Intensity_1DLC062715QE_RRAG_044B_rep1;PXD012477;Non-Healthy;B
517;-2,74804525;-1,496981827;Intensity_1DLC062715QE_RRAG_044B_rep2;PXD012477;Non-Healthy;B
479;-3,008580929;-1,674333668;Intensity_1DLC062715QE_RRAG_044B_rep3;PXD012477;Non-Healthy;B
60;-2,398943579;-1,52817355;Intensity_1DLC062715QE_RRAG_044B_rep4;PXD012477;Non-Healthy;B
323;-2,622192143;-1,871040884;Intensity_1DLC062715QE_RRAG_045B_rep1;PXD012477;Non-Healthy;B
304;-3,106752485;-1,991255573;Intensity_1DLC062715QE_RRAG_045B_rep2;PXD012477;Non-Healthy;B
488;-2,844436799;-1,50027974;Intensity_1DLC062715QE_RRAG_045B_rep3;PXD012477;Non-Healthy;B
334;-2,532497235;-1,223877605;Intensity_1DLC062715QE_RRAG_045B_rep4;PXD012477;Non-Healthy;B
151;-3,535828204;-0,94258328;Intensity_1DLC062715QE_RRAG_046B_rep1;PXD012477;Non-Healthy;B
478;-3,331864358;-1,7810762;Intensity_1DLC062715QE_RRAG_046B_rep2;PXD012477;Non-Healthy;B
240;-2,478346323;-1,12370022;Intensity_1DLC062715QE_RRAG_046B_rep3;PXD012477;Non-Healthy;B
163;-2,938014424;-1,453471125;Intensity_1DLC062715QE_RRAG_046B_rep4;PXD012477;Non-Healthy;B
123;-2,127887485;-1,224246168;Intensity_1DLC062715QE_RRAG_047B_rep1;PXD012477;Healthy;B
149;-2,777043769;-1,936020242;Intensity_1DLC062715QE_RRAG_047B_rep2;PXD012477;Healthy;B
315;-2,35119693;-1,67109954;Intensity_1DLC062715QE_RRAG_047B_rep3;PXD012477;Healthy;B
136;-2,061098287;-1,630071874;Intensity_1DLC062715QE_RRAG_047B_rep4;PXD012477;Healthy;B
184;-1,923128401;-1,36377641;Intensity_1DLC062715QE_RRAG_048B_rep1;PXD012477;Non-Healthy;B
268;-1,672120897;-1,041156406;Intensity_1DLC062715QE_RRAG_048B_rep2;PXD012477;Non-Healthy;B
