Column1;PC1;PC2;Unnamed: 0;Project;Treatment
104;2,792038205;-0,285763276;Intensity_1DLC120314QE_RRAG_003_rep2;PXD012477;Healthy
105;-3,44012602;-0,833489568;Intensity_1DLC061715QE_RRAG_038B_rep1;PXD012477;Non-Healthy
106;5,434346619;-1,113844811;Intensity_1DLC123114QE_RRAG_062_rep3;PXD012477;Non-Healthy
107;-3,046254828;-0,942308924;Intensity_1DLC061715QE_RRAG_040B_rep3;PXD012477;Healthy
108;6,453241617;-0,181793708;Intensity_1DLC121514QE_RRAG_017_rep1;PXD012477;Non-Healthy
109;6,310874182;-0,305551914;Intensity_1DLC012615QE_RRAG_009B_rep2;PXD012477;Non-Healthy
110;-1,387505323;-0,961802982;Intensity_1DLC071015QE_RRAG_052B_rep1;PXD012477;Healthy
111;-1,792726337;-1,448670152;Intensity_1DLC071515QE_RRAG_056B_rep4;PXD012477;Healthy
112;-4,16078432;-1,310078232;Intensity_1DLC051815QE_RRAG_018B_rep1;PXD012477;Non-Healthy
113;-3,126310097;-1,512977092;Intensity_1DLC052815QE_RRAG_024B_rep4;PXD012477;Healthy
114;4,223854544;0,06359425;Intensity_1DLC120314QE_RRAG_006_rep1;PXD012477;Healthy
115;6,87028157;-0,238419402;Intensity_1DLC012615QE_RRAG_002B_rep1;PXD012477;Non-Healthy
116;-0,984517992;-0,401539922;Intensity_1DLC061715QE_RRAG_041B_rep4;PXD012477;Healthy
117;-3,958934249;-1,138529845;Intensity_1DLC051815QE_RRAG_028B_rep3;PXD012477;Healthy
118;-3,933977692;-0,893944802;Intensity_1DLC052815QE_RRAG_025B_rep3;PXD012477;Healthy
119;6,847251388;-1,535604359;Intensity_1DLC012615QE_RRAG_003B_rep3;PXD012477;Healthy
120;6,856048004;-0,930879507;Intensity_1DLC121914QE_RRAG_032_rep4;PXD012477;Healthy
121;6,562149033;0,009833633;Intensity_1DLC122914QE_RRAG_055_rep2;PXD012477;Non-Healthy
122;-5,117088047;-0,977458952;Intensity_1DLC051815QE_RRAG_011B_rep1;PXD012477;Healthy
123;-2,127887485;-1,224246168;Intensity_1DLC062715QE_RRAG_047B_rep1;PXD012477;Healthy
124;5,519334835;-0,410941575;Intensity_1DLC122914QE_RRAG_057_rep3;PXD012477;Healthy
125;6,347955619;-0,833521115;Intensity_1DLC012615QE_RRAG_003B_rep1;PXD012477;Healthy
126;-2,857135894;-0,958213247;Intensity_1DLC051815QE_RRAG_019B_rep3;PXD012477;Healthy
127;6,416033985;-1,370478266;Intensity_1DLC012615QE_RRAG_005B_rep3;PXD012477;Healthy
128;-2,295827003;-1,170464787;Intensity_1DLC071515QE_RRAG_061B_rep2;PXD012477;Healthy
129;-3,237299855;-1,336985675;Intensity_1DLC051815QE_RRAG_023B_rep2;PXD012477;Healthy
130;-1,64598631;-1,254379546;Intensity_1DLC071515QE_RRAG_058B_rep3;PXD012477;Non-Healthy
131;-3,556582775;-1,58290987;Intensity_1DLC051815QE_RRAG_023B_rep1;PXD012477;Healthy
132;6,510350604;-0,837935105;Intensity_1DLC122914QE_RRAG_056_rep3;PXD012477;Healthy
133;7,230930328;-0,413831198;Intensity_1DLC122514QE_RRAG_045_rep2;PXD012477;Non-Healthy
134;6,883247892;-0,859940999;Intensity_1DLC120914QE_RRAG_009_rep4;PXD012477;Non-Healthy
135;6,051032864;-0,462319734;Intensity_1DLC123114QE_RRAG_061_rep4;PXD012477;Healthy
136;-2,061098287;-1,630071874;Intensity_1DLC062715QE_RRAG_047B_rep4;PXD012477;Healthy
137;-2,916804952;-0,930022968;Intensity_1DLC061715QE_RRAG_040B_rep1;PXD012477;Healthy
138;-1,06800469;-1,074942274;Intensity_1DLC062715QE_RRAG_048B_rep4;PXD012477;Non-Healthy
139;7,426673956;-1,586019247;Intensity_1DLC122214QE_RRAG_040_rep1;PXD012477;Healthy
140;-2,87734686;0,810126916;Intensity_1DLC051815QE_RRAG_026B_rep4;PXD012477;Non-Healthy
141;6,963308191;0,562107517;Intensity_1DLC121914QE_RRAG_030_rep2;PXD012477;Non-Healthy
142;6,615275487;-0,641640669;Intensity_1DLC122214QE_RRAG_034_rep3;PXD012477;Healthy
143;4,92579691;0,127904115;Intensity_1DLC120314QE_RRAG_004_rep2;PXD012477;Healthy
144;6,458156536;-0,781000262;Intensity_1DLC122514QE_RRAG_051_rep2;PXD012477;Non-Healthy
145;-2,076348635;-0,856937133;Intensity_1DLC060615QE_RRAG_030B_rep4;PXD012477;Non-Healthy
146;5,943313209;-0,84628387;Intensity_1DLC123114QE_RRAG_062_rep2;PXD012477;Non-Healthy
147;-3,887894974;-1,082688496;Intensity_1DLC051815QE_RRAG_028B_rep1;PXD012477;Healthy
148;-3,948982314;-0,88730243;Intensity_1DLC051815QE_RRAG_027B_rep1;PXD012477;Non-Healthy
149;-2,777043769;-1,936020242;Intensity_1DLC062715QE_RRAG_047B_rep2;PXD012477;Healthy
150;5,690828955;-0,972350884;Intensity_1DLC122914QE_RRAG_058_rep3;PXD012477;Non-Healthy
151;-3,535828204;-0,94258328;Intensity_1DLC062715QE_RRAG_046B_rep1;PXD012477;Non-Healthy
152;7,900488129;0,339385823;Intensity_1DLC122214QE_RRAG_038_rep1;PXD012477;Non-Healthy
153;6,453624431;-0,478509315;Intensity_1DLC121914QE_RRAG_032_rep3;PXD012477;Healthy
154;-1,156086589;-0,288830887;Intensity_1DLC061715QE_RRAG_041B_rep3;PXD012477;Healthy
155;-1,24726926;-1,295685428;Intensity_1DLC071015QE_RRAG_052B_rep3;PXD012477;Healthy
