,PC1,PC2,Unnamed: 0,Project
142,6.615275487207869,-0.6416406563716592,Intensity_1DLC122214QE_RRAG_034_rep3,PXD012477
143,4.925796909619327,0.12790411081368303,Intensity_1DLC120314QE_RRAG_004_rep2,PXD012477
144,6.458156535791891,-0.7810002579664684,Intensity_1DLC122514QE_RRAG_051_rep2,PXD012477
145,-2.076348634847437,-0.8569371479137661,Intensity_1DLC060615QE_RRAG_030B_rep4,PXD012477
146,5.943313208871802,-0.846283887599903,Intensity_1DLC123114QE_RRAG_062_rep2,PXD012477
147,-3.8878949737087316,-1.0826885111346438,Intensity_1DLC051815QE_RRAG_028B_rep1,PXD012477
148,-3.948982314299293,-0.8873024498270433,Intensity_1DLC051815QE_RRAG_027B_rep1,PXD012477
149,-2.7770437692894143,-1.9360202208004764,Intensity_1DLC062715QE_RRAG_047B_rep2,PXD012477
150,5.690828955250976,-0.9723508783152883,Intensity_1DLC122914QE_RRAG_058_rep3,PXD012477
151,-3.535828203699347,-0.9425832587532683,Intensity_1DLC062715QE_RRAG_046B_rep1,PXD012477
152,7.900488128788642,0.33938584907679403,Intensity_1DLC122214QE_RRAG_038_rep1,PXD012477
153,6.453624430637574,-0.4785093462895096,Intensity_1DLC121914QE_RRAG_032_rep3,PXD012477
154,-1.1560865892510395,-0.28883086351728865,Intensity_1DLC061715QE_RRAG_041B_rep3,PXD012477
155,-1.247269260057902,-1.2956854110581262,Intensity_1DLC071015QE_RRAG_052B_rep3,PXD012477
156,-2.619319002290843,-1.3622681300797186,Intensity_1DLC071515QE_RRAG_064B_rep3,PXD012477
157,-3.660336730444023,-1.2395655305961955,Intensity_1DLC051815QE_RRAG_029B_rep4,PXD012477
158,5.483425091650687,-0.9259831898930562,Intensity_1DLC012615QE_RRAG_003B_rep4,PXD012477
159,7.723834143482842,0.7410554022422762,Intensity_1DLC123114QE_RRAG_053_rep2,PXD012477
160,-1.9762175692820423,-0.173231857019125,Intensity_1DLC071015QE_RRAG_055B_rep2,PXD012477
161,-1.07741940987121,-1.6461615278200963,Intensity_1DLC051815QE_RRAG_022B_rep3,PXD012477
162,4.043119246431323,-1.3679501081205663,Intensity_1DLC122914QE_RRAG_058_rep4,PXD012477
163,-2.9380144241898383,-1.4534711087678367,Intensity_1DLC062715QE_RRAG_046B_rep4,PXD012477
164,-3.103129098897303,-0.5490461318038423,Intensity_1DLC0080815QE_RRAG_002_rep2,PXD012477
165,7.139721629941443,0.14755035437672115,Intensity_1DLC012615QE_RRAG_007B_rep3,PXD012477
166,-5.2164849788979755,-1.898609243907137,Intensity_1DLC051815QE_RRAG_017B_rep3,PXD012477
167,5.959960434753421,-0.1284153469221395,Intensity_1DLC121414QE_RRAG_014_rep3,PXD012477
168,6.903769562652039,0.7814160957228037,Intensity_1DLC121914QE_RRAG_030_rep3,PXD012477
169,5.324177945573183,-0.5682410166452162,Intensity_1DLC121514QE_RRAG_019_rep1,PXD012477
170,-2.060390729658798,-0.7577885686484113,Intensity_1DLC071515QE_RRAG_058B_rep1,PXD012477
171,-2.1360934691130926,-0.7501351006987121,Intensity_1DLC071515QE_RRAG_060B_rep4,PXD012477
172,6.327434109126469,-0.5394056451808237,Intensity_1DLC122214QE_RRAG_037_rep1,PXD012477
173,5.483292205803324,-0.8147898118974053,Intensity_1DLC121414QE_RRAG_015_rep1,PXD012477
174,4.341797629827222,-0.13677816473591484,Intensity_1DLC120914QE_RRAG_010_rep2,PXD012477
175,-3.103800913583134,-1.100708993165949,Intensity_1DLC061715QE_RRAG_038B_rep3,PXD012477
176,5.680397006137876,-1.249448223160699,Intensity_1DLC123114QE_RRAG_061_rep2,PXD012477
177,6.534417056751954,-0.5781981418332485,Intensity_1DLC122914QE_RRAG_048_101414_rep1,PXD012477
178,5.98807871479221,-0.9070414723174237,Intensity_1DLC121514QE_RRAG_021_rep3,PXD012477
179,6.829567968849773,0.07228457584717658,Intensity_1DLC122514QE_RRAG_050_rep1,PXD012477
180,3.866266531744695,0.4444292976972177,Intensity_1DLC120314QE_RRAG_006_rep2,PXD012477
181,6.396437513307392,-0.6699170603208606,Intensity_1DLC122214QE_RRAG_034_rep4,PXD012477
182,-3.2871134489362195,0.4117273550071453,Intensity_1DLC051815QE_RRAG_026B_rep3,PXD012477
183,7.81074413805153,1.0696114793940512,Intensity_1DLC123114QE_RRAG_053_rep1,PXD012477
184,-1.9231284009218148,-1.363776406849766,Intensity_1DLC062715QE_RRAG_048B_rep1,PXD012477
185,-4.480412279240318,-1.7552383971849594,Intensity_1DLC051815QE_RRAG_021B_rep3,PXD012477
186,5.2788776490654925,-0.7132533441817968,Intensity_1DLC121514QE_RRAG_020_rep2,PXD012477
187,6.009758861767084,-0.5284296085372256,Intensity_1DLC121514QE_RRAG_024_rep2,PXD012477
188,6.054463545661969,-0.5144444981498009,Intensity_1DLC121914QE_RRAG_028_rep3,PXD012477
189,-0.20618745063012303,-0.6763489628139677,Intensity_1DLC071015QE_RRAG_053B_rep2,PXD012477
190,7.298003373106108,1.0411678803938673,Intensity_1DLC122914QE_RRAG_059_rep3,PXD012477
191,6.297889971037145,-0.4793294799263227,Intensity_1DLC121414QE_RRAG_013_rep4,PXD012477
192,6.644913654305225,-0.47945587216539215,Intensity_1DLC123114QE_RRAG_063_rep1,PXD012477
193,6.12896239487615,-0.7414151611569832,Intensity_1DLC122514QE_RRAG_046_rep2,PXD012477
194,-3.6539265170685304,-0.7533122827921623,Intensity_1DLC062715QE_RRAG_043B_rep2,PXD012477
195,6.742123910902879,0.054060855581724146,Intensity_1DLC120314QE_RRAG_005_rep4,PXD012477
196,5.459778413608096,-0.9426322748319588,Intensity_1DLC121514QE_RRAG_018_rep1,PXD012477
197,-3.528860980125747,-1.0465699159761288,Intensity_1DLC071515QE_RRAG_056B_rep1,PXD012477
