ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn20954314,ag_89_0444.raw,1,image/RAW,1358410129,3320325,1570811894797,3320223,1576681398625,syn21444980,https://www.synapse.org/#!Synapse:syn20954314.1,0f97860465f2d6df6b1c9e6e1fa21064,/home/robbe/.synapseCache/551/43862551/ag_89_0444.RAW,
syn20954330,ag_90_aegis.raw,1,image/RAW,1343075081,3320325,1570811917833,3320223,1576681399246,syn21444980,https://www.synapse.org/#!Synapse:syn20954330.1,386478c6301873a9aa0cee77cc0d0628,/home/robbe/.synapseCache/581/43862581/ag_90_aegis.RAW,
syn20954347,ag_91_gis.raw,1,image/RAW,1409923174,3320325,1570811942721,3320223,1576681400170,syn21444980,https://www.synapse.org/#!Synapse:syn20954347.1,caff439b647b6ec1823f5e6b4d64aa92,/home/robbe/.synapseCache/610/43862610/ag_91_gis.RAW,
syn20954361,ag_92_0297.raw,1,image/RAW,1404954149,3320325,1570811968046,3320223,1576681400723,syn21444980,https://www.synapse.org/#!Synapse:syn20954361.1,93cb7f5de2d0a9d37b34af5ee038a152,/home/robbe/.synapseCache/635/43862635/ag_92_0297.RAW,
syn20954376,ag_93_0253.raw,1,image/RAW,1346207175,3320325,1570811991917,3320223,1576681401708,syn21444980,https://www.synapse.org/#!Synapse:syn20954376.1,23a57bc27d49a6a60868f1d410f73624,/home/robbe/.synapseCache/661/43862661/ag_93_0253.RAW,
syn20954427,ag_94_0546.raw,1,image/RAW,1397118453,3320325,1570812026889,3320223,1576681402272,syn21444980,https://www.synapse.org/#!Synapse:syn20954427.1,65dabdeb74ea434882a3c483d9191b85,/home/robbe/.synapseCache/697/43862697/ag_94_0546.RAW,
syn20954455,ag_95_0135.raw,1,image/RAW,1321867764,3320325,1570812058060,3320223,1576681402813,syn21444980,https://www.synapse.org/#!Synapse:syn20954455.1,aee523278b44f204d2bda38c372f537e,/home/robbe/.synapseCache/730/43862730/ag_95_0135.RAW,
syn20954471,ag_96_0122.raw,1,image/RAW,1337446429,3320325,1570812086797,3320223,1576681403364,syn21444980,https://www.synapse.org/#!Synapse:syn20954471.1,cd60f70218a1a1c1c9dc8214ac02bd4a,/home/robbe/.synapseCache/756/43862756/ag_96_0122.RAW,
syn20954490,ag_97_0635.raw,1,image/RAW,1428121391,3320325,1570812119705,3320223,1576681403981,syn21444980,https://www.synapse.org/#!Synapse:syn20954490.1,247b19a83e60a1c62aef17fbc69c779d,/home/robbe/.synapseCache/789/43862789/ag_97_0635.RAW,
syn20954508,ag_98_0111.raw,1,image/RAW,1347659428,3320325,1570812146747,3320223,1576681404574,syn21444980,https://www.synapse.org/#!Synapse:syn20954508.1,0531de1b357654bed602944ae71340d6,/home/robbe/.synapseCache/820/43862820/ag_98_0111.RAW,
syn20954535,ag_99_0193.raw,1,image/RAW,1410089345,3320325,1570812187716,3320223,1576681405177,syn21444980,https://www.synapse.org/#!Synapse:syn20954535.1,7151c8b8ba21ec4dbc7f63f1113ffa0b,/home/robbe/.synapseCache/865/43862865/ag_99_0193.RAW,
